Date,Close/Last,Volume,Open,High,Low
26/04/2018,142.01,4251898,$141.8952,$142.6308,$141.508
25/04/2018,141.26,7322583,$141.1111,$141.7016,$139.486
24/04/2018,140.89,4915483,$141.808,$142.5727,$139.8916
23/04/2018,141.18,5312680,$140.3755,$141.2757,$139.698
20/04/2018,140.25,8262089,$143.1534,$143.2212,$139.8722
19/04/2018,142.96,8066949,$144.402,$144.4187,$141.9145
18/04/2018,144.01,20366390,$147.2574,$147.7316,$143.5019
17/04/2018,155.75,10030300,$153.723,$156.8009,$153.4229
16/04/2018,152.82,4183034,$152.9196,$154.0327,$152.6099
13/04/2018,151.68,3886410,$153.5778,$154.1101,$150.9064
12/04/2018,153.00,5632531,$151.7194,$153.8778,$151.642
11/04/2018,150.37,3209656,$149.4158,$150.7805,$148.9415
10/04/2018,150.40,3834517,$150.0546,$151.5791,$149.7836
09/04/2018,147.79,4410622,$146.9283,$149.6965,$146.8734
06/04/2018,145.74,3672651,$148.535,$149.0093,$144.7408
05/04/2018,149.09,3170798,$149.4835,$149.9481,$148.4188
04/04/2018,149.17,4801403,$143.1438,$149.5126,$142.7179
03/04/2018,145.04,4134866,$145.9604,$146.1539,$143.5406
02/04/2018,145.25,5136191,$148.4188,$148.4576,$143.6664
29/03/2018,148.51,3419328,$148.1575,$148.9512,$146.2314
28/03/2018,147.63,3664480,$147.1896,$148.9222,$147.0154
27/03/2018,147.03,3875906,$149.0093,$149.8995,$146.3088
26/03/2018,148.45,4102976,$146.3572,$148.7257,$145.457
23/03/2018,144.11,4427791,$147.3638,$147.6832,$143.7739
22/03/2018,147.21,4739788,$150.0256,$150.2674,$147.1218
21/03/2018,151.66,3481845,$151.5452,$153.1229,$150.916
20/03/2018,151.19,4335687,$152.4647,$152.8615,$150.3063
19/03/2018,152.30,5454834,$154.5844,$154.7585,$151.429
16/03/2018,155.12,9206814,$154.9232,$156.7816,$154.5167
15/03/2018,154.49,3863182,$153.6165,$156.075,$153.4326
14/03/2018,153.05,3630206,$155.0296,$155.5233,$152.6776
13/03/2018,154.21,4124286,$154.9522,$156.9095,$153.7133
12/03/2018,155.12,5061463,$154.5167,$155.8524,$153.7714
09/03/2018,154.20,5019427,$152.4163,$154.461,$152.2518
08/03/2018,151.20,6391534,$153.8972,$154.4489,$150.0933
07/03/2018,153.24,4312067,$150.0256,$153.7327,$149.7642
06/03/2018,150.72,3592913,$152.2324,$152.8228,$150.1773
05/03/2018,151.91,3670382,$149.1738,$152.4357,$148.8157
02/03/2018,149.53,3260903,$147.8865,$149.7933,$147.0057
01/03/2018,148.87,4037578,$150.5386,$151.9364,$147.8865
28/02/2018,150.83,3793433,$152.4453,$153.0647,$150.7999
27/02/2018,151.53,4233110,$153.3745,$154.6522,$151.5065
26/02/2018,153.49,3598083,$150.8096,$153.781,$150.5192
23/02/2018,150.53,3251395,$149.348,$150.8531,$149.1254
22/02/2018,148.26,4019720,$149.5416,$150.0643,$147.8865
21/02/2018,149.02,3724635,$150.4418,$151.7581,$148.9609
20/02/2018,150.18,4482762,$150.7902,$150.9548,$148.9318
16/02/2018,151.17,4253815,$150.7128,$152.7265,$150.6934
15/02/2018,151.00,5527366,$150.5095,$151.8259,$148.7673
14/02/2018,149.79,5474399,$145.3699,$150.0256,$145.186
13/02/2018,145.91,4865333,$146.0572,$146.3272,$144.8376
12/02/2018,146.54,5839248,$146.0572,$147.509,$145.4764
09/02/2018,144.71,7783434,$143.831,$145.7087,$139.7614
08/02/2018,142.85,6765434,$147.5864,$148.2446,$142.7663
07/02/2018,148.91,6138776,$149.2222,$150.3547,$148.3608
06/02/2018,150.35,9854125,$145.4667,$150.4998,$144.3246
05/02/2018,147.63,8674946,$152.8228,$153.4132,$145.186
